description,type,amount,date,notes
Monthly Salary,credit,3500,2023-01-01,January salary payment
Coffee at Starbucks,debit,4.5,2023-01-02,Morning coffee before work
Grocery Shopping,debit,156.78,2023-01-03,Weekly groceries at Walmart
Gym Membership,debit,45,2023-01-04,Monthly gym subscription
Electric Bill,debit,89.5,2023-01-05,January electricity payment
Netflix Subscription,debit,15.99,2023-01-06,Monthly streaming service
Freelance Project,credit,750,2023-01-07,Web design project payment
Gas Station,debit,52.3,2023-01-08,Fill up tank
Restaurant Dinner,debit,68.45,2023-01-09,Dinner with friends
Online Course,debit,99,2023-01-10,Professional development course
Amazon Purchase,debit,23.5,2023-01-10,New book purchase
Lunch Takeout,debit,12.85,2023-01-11,Mid-day meal
ATM Withdrawal,debit,100,2023-01-12,Cash for weekend
Movie Tickets,debit,30,2023-01-13,Friday night movie
Grocery Shopping,debit,122.95,2023-01-14,Weekly groceries at Target
Water Bill,debit,45.2,2023-01-15,January water payment
Credit Card Payment,debit,500,2023-01-16,Monthly credit card minimum
Public Transport,debit,5.5,2023-01-17,Bus fare
Coffee Shop,debit,3.8,2023-01-18,Afternoon pick-me-up
Savings Transfer,debit,200,2023-01-19,Monthly savings contribution
Investment Income,credit,150,2023-01-20,Dividend payment
Pet Store,debit,35.4,2023-01-21,Pet food and supplies
Online Subscription,debit,9.99,2023-01-22,Cloud storage
Gas Station,debit,48.75,2023-01-23,Fill up tank
Dry Cleaning,debit,22,2023-01-24,Work clothes
Restaurant Lunch,debit,18.5,2023-01-25,Business lunch
Parking Fee,debit,10,2023-01-26,Downtown parking
Subscription Renewal,debit,120,2023-01-27,Annual software license
Friend Reimbursement,credit,50,2023-01-28,Split dinner bill
Grocery Shopping,debit,98.6,2023-01-29,Weekend groceries
Internet Bill,debit,65,2023-01-30,January internet payment
Rent Payment,debit,1500,2023-01-31,February rent payment
Side Gig Payment,credit,400,2023-02-01,February side job income
Coffee at Local Cafe,debit,4.25,2023-02-01,Morning coffee
Snack Vending Machine,debit,1.5,2023-02-02,Quick snack at work
Online Shopping,debit,75.99,2023-02-03,New shoes
Grocery Shopping,debit,145.3,2023-02-04,Weekly groceries
Phone Bill,debit,75,2023-02-05,February mobile service
Hobby Supplies,debit,29.99,2023-02-06,Art supplies
Tax Refund,credit,250,2023-02-07,State tax return deposit
Gas Station,debit,55.1,2023-02-08,Fill up tank
Takeout Pizza,debit,25.4,2023-02-09,Friday night pizza
Books Store,debit,15,2023-02-10,Used bookstore purchase
Restaurant Dinner,debit,95.6,2023-02-11,Valentine's Day dinner
Health Insurance,debit,150,2023-02-12,Monthly premium
Bank Transfer,debit,300,2023-02-13,Transfer to secondary account
Work Reimbursement,credit,85,2023-02-14,Travel expenses
Car Wash,debit,15,2023-02-15,Basic car wash
Charity Donation,debit,20,2023-02-16,Local charity donation
Payroll Deposit,credit,3600,2023-02-17,February salary payment